Converted from gr_24x23.xyz

1104 atoms
1 atom types


0.62976 60.258047595321 xlo xhi # 
-0.7100 50.410000000000 ylo yhi # 
-20.00 20.0000000 zlo zhi

#original that wroked


#exact size of relaxed graphene in vmd
#0.936002 59.321999 xlo xhi
#1.340690 47.026798 ylo yhi

Masses

1 12.011
#2 1.008 #H
#2 3.016 #T


Atoms # atomic

473 1 33.203413981095 13.490000000000 0.000000000000
474 1 34.433170054469 14.200000000000 0.000000000000
475 1 34.433170054469 15.620000000000 0.000000000000
476 1 35.662926127843 16.330000000000 0.000000000000
477 1 35.662926127843 17.750000000000 0.000000000000
478 1 36.892682201217 18.460000000000 0.000000000000
479 1 36.892682201217 19.880000000000 0.000000000000
480 1 38.122438274591 20.590000000000 0.000000000000
481 1 38.122438274591 22.010000000000 0.000000000000
482 1 39.352194347965 22.720000000000 0.000000000000
483 1 39.352194347965 24.140000000000 0.000000000000
484 1 40.581950421339 24.850000000000 0.000000000000
485 1 40.581950421339 26.270000000000 0.000000000000
486 1 41.811706494713 26.980000000000 0.000000000000
487 1 41.811706494713 28.400000000000 0.000000000000
488 1 43.041462568087 29.110000000000 0.000000000000
489 1 43.041462568087 30.530000000000 0.000000000000
490 1 44.271218641461 31.240000000000 0.000000000000
491 1 44.271218641461 32.660000000000 0.000000000000
492 1 45.500974714834 33.370000000000 0.000000000000
493 1 45.500974714834 34.790000000000 0.000000000000
494 1 46.730730788208 35.500000000000 0.000000000000
495 1 46.730730788208 36.920000000000 0.000000000000
496 1 47.960486861582 37.630000000000 0.000000000000
497 1 47.960486861582 39.050000000000 0.000000000000
498 1 49.190242934956 39.760000000000 0.000000000000
499 1 49.190242934956 41.180000000000 0.000000000000
500 1 50.419999008330 41.890000000000 0.000000000000
501 1 50.419999008330 43.310000000000 0.000000000000
502 1 51.649755081704 44.020000000000 0.000000000000
503 1 51.649755081704 45.440000000000 0.000000000000
504 1 52.879511155078 46.150000000000 0.000000000000
505 1 52.879511155078 47.570000000000 0.000000000000
506 1 54.109267228452 48.280000000000 0.000000000000
507 1 28.284389687600 0.710000000000 0.000000000000
508 1 29.514145760974 1.420000000000 0.000000000000
509 1 29.514145760974 2.840000000000 0.000000000000
510 1 30.743901834348 3.550000000000 0.000000000000
511 1 30.743901834348 4.970000000000 0.000000000000
512 1 31.973657907721 5.680000000000 0.000000000000
513 1 31.973657907721 7.100000000000 0.000000000000
514 1 33.203413981095 7.810000000000 0.000000000000
515 1 33.203413981095 9.230000000000 0.000000000000
516 1 34.433170054469 9.940000000000 0.000000000000
517 1 34.433170054469 11.360000000000 0.000000000000
518 1 35.662926127843 12.070000000000 0.000000000000
519 1 35.662926127843 13.490000000000 0.000000000000
520 1 36.892682201217 14.200000000000 0.000000000000
521 1 36.892682201217 15.620000000000 0.000000000000
522 1 38.122438274591 16.330000000000 0.000000000000
523 1 38.122438274591 17.750000000000 0.000000000000
524 1 39.352194347965 18.460000000000 0.000000000000
525 1 39.352194347965 19.880000000000 0.000000000000
526 1 40.581950421339 20.590000000000 0.000000000000
527 1 40.581950421339 22.010000000000 0.000000000000
528 1 41.811706494713 22.720000000000 0.000000000000
529 1 41.811706494713 24.140000000000 0.000000000000
530 1 43.041462568087 24.850000000000 0.000000000000
531 1 43.041462568087 26.270000000000 0.000000000000
532 1 44.271218641461 26.980000000000 0.000000000000
533 1 44.271218641461 28.400000000000 0.000000000000
534 1 45.500974714834 29.110000000000 0.000000000000
535 1 45.500974714834 30.530000000000 0.000000000000
536 1 46.730730788208 31.240000000000 0.000000000000
537 1 46.730730788208 32.660000000000 0.000000000000
538 1 47.960486861582 33.370000000000 0.000000000000
539 1 47.960486861582 34.790000000000 0.000000000000
540 1 49.190242934956 35.500000000000 0.000000000000
541 1 49.190242934956 36.920000000000 0.000000000000
542 1 50.419999008330 37.630000000000 0.000000000000
543 1 50.419999008330 39.050000000000 0.000000000000
544 1 51.649755081704 39.760000000000 0.000000000000
